Python,Cuba,46
Python,Iceland,78
Python,USA,73
Python,China,40
Python,Australia,81
Python,Canada,81
Python,Czech_Republic,48
Python,Estonia,68
Python,South_Korea,55
Python,Sweden,89
Ruby,New_Zealand,91
Ruby,USA,73
Ruby,Australia,81
Ruby,Guam,-
Ruby,Trinidad_and_Tobago,38
Ruby,United_Kingdom,76
Ruby,Canada,81
Ruby,Hong_Kong,75
Ruby,Philippines,36
Ruby,Ireland,72
PHP,Cuba,46
PHP,Philippines,36
PHP,Madagascar,25
PHP,India,36
PHP,Nepal,31
PHP,Czech_Republic,48
PHP,Bhutan,63
PHP,Bangladesh,27
PHP,Togo,29
PHP,Sri_Lanka,37
Perl,Luxembourg,80
Perl,Japan,74
Perl,India,36
Perl,Germany,78
Perl,USA,73
Perl,Singapore,86
Perl,Hong_Kong,75
Perl,Austria,69
Perl,Switzerland,85
Perl,Israel,61
Java,India,36
Java,Bangladesh,27
Java,Madagascar,28
Java,Sri_Lanka,37
Java,Bolivia,34
Java,Cuba,46
Java,Indonesia,32
Java,Cameroon,25
Java,Togo,29
Java,China,40
JavaScript,India,36
JavaScript,Cuba,46
JavaScript,Hong_Kong,75
JavaScript,Madagascar,28
JavaScript,Japan,74
JavaScript,Sri_Lanka,37
JavaScript,Singapore,86
JavaScript,Nepal,31
JavaScript,Taiwan,61
JavaScript,South_Korea,55
